it=50

original: 1.15, downgraded: 0.775, delta: 0.375
original: 1.075, downgraded: 0.775, delta: 0.3
original: 1.1125, downgraded: 0.775, delta: 0.3375
original: 1.0875, downgraded: 0.7875, delta: 0.3
original: 1.125, downgraded: 0.7875, delta: 0.3375
original: 1.175, downgraded: 0.775, delta: 0.4
original: 0.9875, downgraded: 0.8, delta: 0.1875
original: 1.0875, downgraded: 0.775, delta: 0.3125
original: 1.1375, downgraded: 0.7875, delta: 0.35
original: 1.05, downgraded: 0.8, delta: 0.25
original: 1.05, downgraded: 0.7875, delta: 0.2625
original: 1.0625, downgraded: 0.8, delta: 0.2625
original: 1.075, downgraded: 0.775, delta: 0.3
original: 1.075, downgraded: 0.8, delta: 0.275
original: 1.075, downgraded: 0.7875, delta: 0.2875
original: 1.075, downgraded: 0.7875, delta: 0.2875
original: 1.1875, downgraded: 0.7875, delta: 0.4
original: 1.125, downgraded: 0.8, delta: 0.325
original: 1.05, downgraded: 0.8, delta: 0.25
original: 1.0875, downgraded: 0.7875, delta: 0.3
original: 1, downgraded: 0.775, delta: 0.225
original: 1.0125, downgraded: 0.7875, delta: 0.225
original: 1.1375, downgraded: 0.775, delta: 0.3625
original: 1.175, downgraded: 0.775, delta: 0.4
original: 1.1375, downgraded: 0.7875, delta: 0.35
original: 1.1, downgraded: 0.75, delta: 0.35
original: 1.2375, downgraded: 0.7625, delta: 0.475
original: 1.125, downgraded: 0.7875, delta: 0.3375
original: 1, downgraded: 0.8, delta: 0.2


it=500

original: 1.125, downgraded: 0.8, delta: 0.325
original: 1.1125, downgraded: 0.8, delta: 0.3125
original: 1.05, downgraded: 0.8, delta: 0.25
original: 1.075, downgraded: 0.7875, delta: 0.2875
original: 1.175, downgraded: 0.7875, delta: 0.3875
original: 1, downgraded: 0.8, delta: 0.2
original: 1.175, downgraded: 0.775, delta: 0.4
original: 1.0875, downgraded: 0.7875, delta: 0.3
original: 1.025, downgraded: 0.7625, delta: 0.2625
original: 1.05, downgraded: 0.8, delta: 0.25
original: 1.025, downgraded: 0.8, delta: 0.225
original: 1.1, downgraded: 0.7875, delta: 0.3125
original: 1.075, downgraded: 0.7875, delta: 0.2875
original: 1.075, downgraded: 0.775, delta: 0.3
original: 1.15, downgraded: 0.8, delta: 0.35
original: 1.025, downgraded: 0.8, delta: 0.225
original: 1.1375, downgraded: 0.8, delta: 0.3375
original: 1.075, downgraded: 0.8, delta: 0.275
original: 1.1625, downgraded: 0.8, delta: 0.3625
original: 1.025, downgraded: 0.7875, delta: 0.2375
original: 1.0625, downgraded: 0.7625, delta: 0.3
original: 1.1, downgraded: 0.8, delta: 0.3
original: 1.15, downgraded: 0.8, delta: 0.35
original: 1.05, downgraded: 0.7875, delta: 0.2625
original: 1.05, downgraded: 0.8, delta: 0.25
original: 0.9625, downgraded: 0.7875, delta: 0.175
original: 1.025, downgraded: 0.8, delta: 0.225
original: 1.0375, downgraded: 0.7875, delta: 0.25
original: 1.0875, downgraded: 0.8, delta: 0.2875
original: 1.1875, downgraded: 0.8, delta: 0.3875
original: 0.9625, downgraded: 0.7875, delta: 0.175
original: 1.125, downgraded: 0.8, delta: 0.325
original: 1.0625, downgraded: 0.8, delta: 0.2625
original: 1.1, downgraded: 0.8, delta: 0.3
original: 1.1375, downgraded: 0.775, delta: 0.3625
original: 1.1, downgraded: 0.7875, delta: 0.3125
original: 1.1875, downgraded: 0.8, delta: 0.3875
original: 1.0375, downgraded: 0.8, delta: 0.2375
original: 1.1, downgraded: 0.8, delta: 0.3
original: 1.1, downgraded: 0.8, delta: 0.3
original: 0.9375, downgraded: 0.7875, delta: 0.15
original: 1.0375, downgraded: 0.7875, delta: 0.25
original: 1.0375, downgraded: 0.775, delta: 0.2625
original: 1.075, downgraded: 0.7875, delta: 0.2875
original: 1.0875, downgraded: 0.7875, delta: 0.3
original: 0.9375, downgraded: 0.7875, delta: 0.15
original: 1.125, downgraded: 0.7875, delta: 0.3375
original: 1.2625, downgraded: 0.8, delta: 0.4625
original: 1.15, downgraded: 0.7875, delta: 0.3625
original: 1.1625, downgraded: 0.7625, delta: 0.4


it=1000

original: 0.95, downgraded: 0.8, delta: 0.15
original: 1.1375, downgraded: 0.8, delta: 0.3375
original: 1.025, downgraded: 0.7875, delta: 0.2375
original: 1.1, downgraded: 0.8, delta: 0.3
original: 1.1125, downgraded: 0.775, delta: 0.3375
original: 1.0625, downgraded: 0.7875, delta: 0.275
original: 1.1375, downgraded: 0.8, delta: 0.3375
original: 1.1125, downgraded: 0.775, delta: 0.3375
original: 1.0875, downgraded: 0.8, delta: 0.2875
original: 1.075, downgraded: 0.8, delta: 0.275
original: 1.1, downgraded: 0.775, delta: 0.325
original: 1.0625, downgraded: 0.775, delta: 0.2875
original: 1.075, downgraded: 0.7875, delta: 0.2875
original: 1.05, downgraded: 0.775, delta: 0.275
original: 1.1375, downgraded: 0.7875, delta: 0.35
original: 1, downgraded: 0.8, delta: 0.2
original: 1.075, downgraded: 0.8, delta: 0.275
original: 1.125, downgraded: 0.775, delta: 0.35
original: 1.0875, downgraded: 0.8, delta: 0.2875
original: 1.2375, downgraded: 0.7875, delta: 0.45
original: 1.025, downgraded: 0.7625, delta: 0.2625
original: 1.05, downgraded: 0.775, delta: 0.275
original: 1.075, downgraded: 0.8, delta: 0.275
original: 1.075, downgraded: 0.775, delta: 0.3
original: 1.0875, downgraded: 0.8, delta: 0.2875
original: 0.9875, downgraded: 0.8, delta: 0.1875
original: 1.025, downgraded: 0.8, delta: 0.225
original: 1.05, downgraded: 0.7625, delta: 0.2875
original: 1.0625, downgraded: 0.8, delta: 0.2625
original: 1.0625, downgraded: 0.775, delta: 0.2875
original: 1, downgraded: 0.8, delta: 0.2
original: 1.1, downgraded: 0.775, delta: 0.325
original: 1.025, downgraded: 0.8, delta: 0.225
original: 1.1125, downgraded: 0.8, delta: 0.3125
original: 1.0125, downgraded: 0.8, delta: 0.2125
original: 1.0375, downgraded: 0.7875, delta: 0.25
original: 1.0625, downgraded: 0.775, delta: 0.2875
original: 1.125, downgraded: 0.775, delta: 0.35
original: 1.15, downgraded: 0.7875, delta: 0.3625
original: 1.1, downgraded: 0.8, delta: 0.3
original: 1.025, downgraded: 0.8, delta: 0.225
original: 1.0375, downgraded: 0.8, delta: 0.2375
original: 1.15, downgraded: 0.8, delta: 0.35
original: 1.0875, downgraded: 0.8, delta: 0.2875
original: 1.175, downgraded: 0.775, delta: 0.4
original: 1.075, downgraded: 0.8, delta: 0.275
original: 1.075, downgraded: 0.8, delta: 0.275
original: 1.1625, downgraded: 0.7875, delta: 0.375
original: 1.1625, downgraded: 0.7875, delta: 0.375
original: 1.175, downgraded: 0.7875, delta: 0.3875


it: 50, delta_avg: 0.30025
it: 100, delta_avg: 0.29075
it: 200, delta_avg: 0.31175
it: 500, delta_avg: 0.292
it: 1000, delta_avg: 0.2925
